Course,Level,Topics
Network Fundamentals,Beginner,"Network Fundamentals Setup and Installation, Network Fundamentals Introduction, Network Fundamentals Fundamentals"
JavaScript Essentials,Advanced,"JavaScript Essentials Performance Tuning, JavaScript Essentials Research & Development, JavaScript Essentials Optimization Techniques"
Ethical Hacking,Beginner,"Ethical Hacking Basic Syntax, Ethical Hacking Foundations, Ethical Hacking Setup and Installation"
Software Testing,Beginner,"Software Testing Fundamentals, Software Testing Setup and Installation, Software Testing Foundations"
Ethical Hacking,Beginner,"Ethical Hacking Setup and Installation, Ethical Hacking Basic Syntax, Ethical Hacking Introduction"
Supervised Learning,Beginner,"Supervised Learning Setup and Installation, Supervised Learning Introduction, Supervised Learning Foundations"
Software Development Life Cycle,Advanced,"Software Development Life Cycle Research & Development, Software Development Life Cycle Performance Tuning, Software Development Life Cycle Case Studies"
Supervised Learning,Advanced,"Supervised Learning Case Studies, Supervised Learning Complex Data Structures, Supervised Learning Research & Development"
HTML & CSS Basics,Beginner,"HTML & CSS Basics Setup and Installation, HTML & CSS Basics Fundamentals, HTML & CSS Basics Foundations"
Security in Cloud,Advanced,"Security in Cloud Complex Data Structures, Security in Cloud Performance Tuning, Security in Cloud Optimization Techniques"
Network Fundamentals,Advanced,"Network Fundamentals Research & Development, Network Fundamentals Case Studies, Network Fundamentals Performance Tuning"
C++ Programming,Intermediate,"C++ Programming Core Concepts, C++ Programming Practical Applications, C++ Programming Data Processing"
SQL for Beginners,Beginner,"SQL for Beginners Introduction, SQL for Beginners Setup and Installation, SQL for Beginners Basic Syntax"
Network Security,Advanced,"Network Security Performance Tuning, Network Security Case Studies, Network Security Complex Data Structures"
Database Administration,Beginner,"Database Administration Basic Syntax, Database Administration Foundations, Database Administration Fundamentals"
Network Defense,Intermediate,"Network Defense Tools and Methods, Network Defense Core Concepts, Network Defense Data Processing"
HTML & CSS Basics,Intermediate,"HTML & CSS Basics Practical Applications, HTML & CSS Basics Data Processing, HTML & CSS Basics Core Concepts"
Python Programming,Advanced,"Python Programming Case Studies, Python Programming Research & Development, Python Programming Complex Data Structures"
Database Design,Intermediate,"Database Design Algorithms, Database Design Tools and Methods, Database Design Data Processing"
Backend with Node.js,Advanced,"Backend with Node.js Performance Tuning, Backend with Node.js Optimization Techniques, Backend with Node.js Research & Development"
Data Analysis with Python,Beginner,"Data Analysis with Python Setup and Installation, Data Analysis with Python Fundamentals, Data Analysis with Python Foundations"
C++ Programming,Advanced,"C++ Programming Complex Data Structures, C++ Programming Optimization Techniques, C++ Programming Research & Development"
Network Fundamentals,Beginner,"Network Fundamentals Setup and Installation, Network Fundamentals Basic Syntax, Network Fundamentals Introduction"
Requirements Engineering,Intermediate,"Requirements Engineering Tools and Methods, Requirements Engineering Algorithms, Requirements Engineering Data Processing"
Network Fundamentals,Advanced,"Network Fundamentals Case Studies, Network Fundamentals Performance Tuning, Network Fundamentals Research & Development"
DevOps,Advanced,"DevOps Performance Tuning, DevOps Research & Development, DevOps Case Studies"
Frontend Development with React,Beginner,"Frontend Development with React Basic Syntax, Frontend Development with React Setup and Installation, Frontend Development with React Fundamentals"
Database Design,Intermediate,"Database Design Core Concepts, Database Design Tools and Methods, Database Design Data Processing"
Introduction to AI,Advanced,"Introduction to AI Research & Development, Introduction to AI Case Studies, Introduction to AI Performance Tuning"
Supervised Learning,Advanced,"Supervised Learning Complex Data Structures, Supervised Learning Research & Development, Supervised Learning Case Studies"
Deep Learning,Advanced,"Deep Learning Optimization Techniques, Deep Learning Complex Data Structures, Deep Learning Performance Tuning"
Cryptography,Beginner,"Cryptography Fundamentals, Cryptography Basic Syntax, Cryptography Foundations"
Advanced SQL Queries,Beginner,"Advanced SQL Queries Fundamentals, Advanced SQL Queries Introduction, Advanced SQL Queries Setup and Installation"
Introduction to AI,Beginner,"Introduction to AI Basic Syntax, Introduction to AI Fundamentals, Introduction to AI Setup and Installation"
NoSQL Databases,Advanced,"NoSQL Databases Performance Tuning, NoSQL Databases Research & Development, NoSQL Databases Complex Data Structures"
Advanced AI Topics,Advanced,"Advanced AI Topics Case Studies, Advanced AI Topics Performance Tuning, Advanced AI Topics Complex Data Structures"
Cryptography,Beginner,"Cryptography Basic Syntax, Cryptography Fundamentals, Cryptography Setup and Installation"
Supervised Learning,Intermediate,"Supervised Learning Data Processing, Supervised Learning Algorithms, Supervised Learning Core Concepts"
Unsupervised Learning,Advanced,"Unsupervised Learning Research & Development, Unsupervised Learning Performance Tuning, Unsupervised Learning Optimization Techniques"
HTML & CSS Basics,Intermediate,"HTML & CSS Basics Algorithms, HTML & CSS Basics Tools and Methods, HTML & CSS Basics Practical Applications"
Ruby Programming,Advanced,"Ruby Programming Performance Tuning, Ruby Programming Optimization Techniques, Ruby Programming Complex Data Structures"
Reinforcement Learning,Beginner,"Reinforcement Learning Setup and Installation, Reinforcement Learning Introduction, Reinforcement Learning Foundations"
DevOps,Beginner,"DevOps Basic Syntax, DevOps Fundamentals, DevOps Introduction"
HTML & CSS Basics,Beginner,"HTML & CSS Basics Foundations, HTML & CSS Basics Fundamentals, HTML & CSS Basics Basic Syntax"
Data Visualization,Advanced,"Data Visualization Research & Development, Data Visualization Case Studies, Data Visualization Complex Data Structures"
Unsupervised Learning,Advanced,"Unsupervised Learning Research & Development, Unsupervised Learning Complex Data Structures, Unsupervised Learning Optimization Techniques"
HTML & CSS Basics,Beginner,"HTML & CSS Basics Foundations, HTML & CSS Basics Introduction, HTML & CSS Basics Basic Syntax"
Data Visualization,Advanced,"Data Visualization Case Studies, Data Visualization Performance Tuning, Data Visualization Complex Data Structures"
Unsupervised Learning,Advanced,"Unsupervised Learning Case Studies, Unsupervised Learning Research & Development, Unsupervised Learning Complex Data Structures"
Django for Web,Beginner,"Django for Web Introduction, Django for Web Foundations, Django for Web Basic Syntax"
Supervised Learning,Advanced,"Supervised Learning Research & Development, Supervised Learning Complex Data Structures, Supervised Learning Case Studies"
Security in Cloud,Beginner,"Security in Cloud Setup and Installation, Security in Cloud Introduction, Security in Cloud Foundations"
Security in Cloud,Advanced,"Security in Cloud Research & Development, Security in Cloud Performance Tuning, Security in Cloud Complex Data Structures"
Software Development Life Cycle,Advanced,"Software Development Life Cycle Research & Development, Software Development Life Cycle Complex Data Structures, Software Development Life Cycle Case Studies"
Ethical Hacking,Beginner,"Ethical Hacking Setup and Installation, Ethical Hacking Introduction, Ethical Hacking Foundations"
Introduction to AI,Beginner,"Introduction to AI Foundations, Introduction to AI Basic Syntax, Introduction to AI Fundamentals"
Natural Language Processing,Advanced,"Natural Language Processing Complex Data Structures, Natural Language Processing Research & Development, Natural Language Processing Case Studies"
Frontend Development with React,Beginner,"Frontend Development with React Fundamentals, Frontend Development with React Setup and Installation, Frontend Development with React Basic Syntax"
Software Development Life Cycle,Beginner,"Software Development Life Cycle Introduction, Software Development Life Cycle Basic Syntax, Software Development Life Cycle Setup and Installation"
Security in Cloud,Advanced,"Security in Cloud Case Studies, Security in Cloud Performance Tuning, Security in Cloud Optimization Techniques"
Introduction to AI,Intermediate,"Introduction to AI Core Concepts, Introduction to AI Data Processing, Introduction to AI Algorithms"
Reinforcement Learning,Intermediate,"Reinforcement Learning Core Concepts, Reinforcement Learning Data Processing, Reinforcement Learning Tools and Methods"
Django for Web,Advanced,"Django for Web Complex Data Structures, Django for Web Case Studies, Django for Web Research & Development"
Introduction to AI,Beginner,"Introduction to AI Introduction, Introduction to AI Fundamentals, Introduction to AI Foundations"
Software Development Life Cycle,Beginner,"Software Development Life Cycle Setup and Installation, Software Development Life Cycle Introduction, Software Development Life Cycle Foundations"
Natural Language Processing,Intermediate,"Natural Language Processing Practical Applications, Natural Language Processing Algorithms, Natural Language Processing Tools and Methods"
Network Defense,Intermediate,"Network Defense Algorithms, Network Defense Data Processing, Network Defense Core Concepts"
DevOps,Beginner,"DevOps Fundamentals, DevOps Setup and Installation, DevOps Introduction"
Database Design,Beginner,"Database Design Basic Syntax, Database Design Fundamentals, Database Design Introduction"
Ruby Programming,Beginner,"Ruby Programming Fundamentals, Ruby Programming Setup and Installation, Ruby Programming Basic Syntax"
Ruby Programming,Intermediate,"Ruby Programming Tools and Methods, Ruby Programming Data Processing, Ruby Programming Core Concepts"
Network Troubleshooting,Advanced,"Network Troubleshooting Complex Data Structures, Network Troubleshooting Research & Development, Network Troubleshooting Optimization Techniques"
Cloud Computing,Advanced,"Cloud Computing Case Studies, Cloud Computing Complex Data Structures, Cloud Computing Research & Development"
Ruby Programming,Advanced,"Ruby Programming Complex Data Structures, Ruby Programming Performance Tuning, Ruby Programming Case Studies"
Introduction to AI,Advanced,"Introduction to AI Optimization Techniques, Introduction to AI Performance Tuning, Introduction to AI Research & Development"
Introduction to Cybersecurity,Beginner,"Introduction to Cybersecurity Fundamentals, Introduction to Cybersecurity Basic Syntax, Introduction to Cybersecurity Setup and Installation"
Cloud Computing,Beginner,"Cloud Computing Basic Syntax, Cloud Computing Foundations, Cloud Computing Fundamentals"
Requirements Engineering,Advanced,"Requirements Engineering Complex Data Structures, Requirements Engineering Optimization Techniques, Requirements Engineering Performance Tuning"
Data Analysis with Python,Beginner,"Data Analysis with Python Basic Syntax, Data Analysis with Python Fundamentals, Data Analysis with Python Setup and Installation"
Network Troubleshooting,Beginner,"Network Troubleshooting Foundations, Network Troubleshooting Setup and Installation, Network Troubleshooting Introduction"
Natural Language Processing,Beginner,"Natural Language Processing Setup and Installation, Natural Language Processing Introduction, Natural Language Processing Foundations"
Machine Learning Basics,Beginner,"Machine Learning Basics Setup and Installation, Machine Learning Basics Introduction, Machine Learning Basics Fundamentals"
Frontend Development with React,Beginner,"Frontend Development with React Foundations, Frontend Development with React Basic Syntax, Frontend Development with React Setup and Installation"
Advanced AI Topics,Beginner,"Advanced AI Topics Fundamentals, Advanced AI Topics Foundations, Advanced AI Topics Introduction"
Full Stack Development,Beginner,"Full Stack Development Basic Syntax, Full Stack Development Fundamentals, Full Stack Development Setup and Installation"
Security in Cloud,Advanced,"Security in Cloud Performance Tuning, Security in Cloud Complex Data Structures, Security in Cloud Case Studies"
Backend with Node.js,Advanced,"Backend with Node.js Case Studies, Backend with Node.js Performance Tuning, Backend with Node.js Research & Development"
Requirements Engineering,Beginner,"Requirements Engineering Basic Syntax, Requirements Engineering Setup and Installation, Requirements Engineering Foundations"
Data Visualization,Intermediate,"Data Visualization Core Concepts, Data Visualization Data Processing, Data Visualization Practical Applications"
Cloud Computing,Intermediate,"Cloud Computing Tools and Methods, Cloud Computing Practical Applications, Cloud Computing Core Concepts"
Data Analysis with Python,Intermediate,"Data Analysis with Python Practical Applications, Data Analysis with Python Algorithms, Data Analysis with Python Core Concepts"
NoSQL Databases,Beginner,"NoSQL Databases Fundamentals, NoSQL Databases Foundations, NoSQL Databases Introduction"
Network Troubleshooting,Beginner,"Network Troubleshooting Basic Syntax, Network Troubleshooting Introduction, Network Troubleshooting Fundamentals"
Network Fundamentals,Intermediate,"Network Fundamentals Practical Applications, Network Fundamentals Core Concepts, Network Fundamentals Algorithms"
Data Analysis with Python,Advanced,"Data Analysis with Python Performance Tuning, Data Analysis with Python Complex Data Structures, Data Analysis with Python Optimization Techniques"
Network Fundamentals,Advanced,"Network Fundamentals Complex Data Structures, Network Fundamentals Optimization Techniques, Network Fundamentals Case Studies"
Database Administration,Intermediate,"Database Administration Practical Applications, Database Administration Tools and Methods, Database Administration Algorithms"
NoSQL Databases,Beginner,"NoSQL Databases Introduction, NoSQL Databases Setup and Installation, NoSQL Databases Foundations"
SQL for Beginners,Beginner,"SQL for Beginners Introduction, SQL for Beginners Fundamentals, SQL for Beginners Basic Syntax"
Deep Learning,Advanced,"Deep Learning Complex Data Structures, Deep Learning Performance Tuning, Deep Learning Research & Development"
Django for Web,Beginner,"Django for Web Introduction, Django for Web Fundamentals, Django for Web Basic Syntax"
SQL for Beginners,Advanced,"SQL for Beginners Complex Data Structures, SQL for Beginners Performance Tuning, SQL for Beginners Research & Development"
Network Fundamentals,Advanced,"Network Fundamentals Optimization Techniques, Network Fundamentals Performance Tuning, Network Fundamentals Case Studies"
Software Development Life Cycle,Intermediate,"Software Development Life Cycle Tools and Methods, Software Development Life Cycle Data Processing, Software Development Life Cycle Practical Applications"
Unsupervised Learning,Intermediate,"Unsupervised Learning Algorithms, Unsupervised Learning Tools and Methods, Unsupervised Learning Practical Applications"
JavaScript Essentials,Beginner,"JavaScript Essentials Introduction, JavaScript Essentials Fundamentals, JavaScript Essentials Basic Syntax"
DevOps,Beginner,"DevOps Fundamentals, DevOps Foundations, DevOps Introduction"
Database Administration,Advanced,"Database Administration Complex Data Structures, Database Administration Performance Tuning, Database Administration Optimization Techniques"
Data Analysis with Python,Advanced,"Data Analysis with Python Optimization Techniques, Data Analysis with Python Case Studies, Data Analysis with Python Research & Development"
Django for Web,Advanced,"Django for Web Complex Data Structures, Django for Web Case Studies, Django for Web Optimization Techniques"
Requirements Engineering,Beginner,"Requirements Engineering Basic Syntax, Requirements Engineering Setup and Installation, Requirements Engineering Foundations"
Software Testing,Advanced,"Software Testing Performance Tuning, Software Testing Optimization Techniques, Software Testing Research & Development"
Backend with Node.js,Beginner,"Backend with Node.js Fundamentals, Backend with Node.js Introduction, Backend with Node.js Setup and Installation"
Natural Language Processing,Intermediate,"Natural Language Processing Tools and Methods, Natural Language Processing Algorithms, Natural Language Processing Data Processing"
Data Visualization,Beginner,"Data Visualization Introduction, Data Visualization Fundamentals, Data Visualization Setup and Installation"
SQL for Beginners,Beginner,"SQL for Beginners Basic Syntax, SQL for Beginners Setup and Installation, SQL for Beginners Foundations"
SQL for Beginners,Intermediate,"SQL for Beginners Tools and Methods, SQL for Beginners Core Concepts, SQL for Beginners Data Processing"
HTML & CSS Basics,Beginner,"HTML & CSS Basics Fundamentals, HTML & CSS Basics Foundations, HTML & CSS Basics Setup and Installation"
Natural Language Processing,Beginner,"Natural Language Processing Fundamentals, Natural Language Processing Introduction, Natural Language Processing Foundations"
Python Programming,Beginner,"Python Programming Foundations, Python Programming Fundamentals, Python Programming Introduction"
Cryptography,Intermediate,"Cryptography Algorithms, Cryptography Tools and Methods, Cryptography Practical Applications"
Network Defense,Beginner,"Network Defense Introduction, Network Defense Foundations, Network Defense Basic Syntax"
Introduction to AI,Beginner,"Introduction to AI Setup and Installation, Introduction to AI Foundations, Introduction to AI Introduction"
Security in Cloud,Beginner,"Security in Cloud Setup and Installation, Security in Cloud Fundamentals, Security in Cloud Introduction"
JavaScript Essentials,Intermediate,"JavaScript Essentials Algorithms, JavaScript Essentials Tools and Methods, JavaScript Essentials Core Concepts"
Reinforcement Learning,Advanced,"Reinforcement Learning Complex Data Structures, Reinforcement Learning Case Studies, Reinforcement Learning Optimization Techniques"
Network Defense,Advanced,"Network Defense Performance Tuning, Network Defense Case Studies, Network Defense Optimization Techniques"
HTML & CSS Basics,Intermediate,"HTML & CSS Basics Data Processing, HTML & CSS Basics Practical Applications, HTML & CSS Basics Tools and Methods"
Reinforcement Learning,Intermediate,"Reinforcement Learning Tools and Methods, Reinforcement Learning Algorithms, Reinforcement Learning Data Processing"
HTML & CSS Basics,Advanced,"HTML & CSS Basics Research & Development, HTML & CSS Basics Case Studies, HTML & CSS Basics Optimization Techniques"
Advanced Networking,Advanced,"Advanced Networking Performance Tuning, Advanced Networking Case Studies, Advanced Networking Research & Development"
NoSQL Databases,Intermediate,"NoSQL Databases Algorithms, NoSQL Databases Data Processing, NoSQL Databases Tools and Methods"
Machine Learning Basics,Intermediate,"Machine Learning Basics Core Concepts, Machine Learning Basics Practical Applications, Machine Learning Basics Algorithms"
SQL for Beginners,Beginner,"SQL for Beginners Foundations, SQL for Beginners Fundamentals, SQL for Beginners Setup and Installation"
Data Analysis with Python,Beginner,"Data Analysis with Python Setup and Installation, Data Analysis with Python Fundamentals, Data Analysis with Python Foundations"
Requirements Engineering,Advanced,"Requirements Engineering Research & Development, Requirements Engineering Complex Data Structures, Requirements Engineering Performance Tuning"
Software Development Life Cycle,Beginner,"Software Development Life Cycle Setup and Installation, Software Development Life Cycle Introduction, Software Development Life Cycle Foundations"
Ruby Programming,Advanced,"Ruby Programming Performance Tuning, Ruby Programming Optimization Techniques, Ruby Programming Research & Development"
Supervised Learning,Beginner,"Supervised Learning Introduction, Supervised Learning Setup and Installation, Supervised Learning Basic Syntax"
DevOps,Beginner,"DevOps Foundations, DevOps Basic Syntax, DevOps Setup and Installation"
JavaScript Essentials,Intermediate,"JavaScript Essentials Core Concepts, JavaScript Essentials Data Processing, JavaScript Essentials Practical Applications"
Security in Cloud,Advanced,"Security in Cloud Complex Data Structures, Security in Cloud Case Studies, Security in Cloud Performance Tuning"
Java Programming,Advanced,"Java Programming Case Studies, Java Programming Performance Tuning, Java Programming Optimization Techniques"
Unsupervised Learning,Intermediate,"Unsupervised Learning Tools and Methods, Unsupervised Learning Practical Applications, Unsupervised Learning Algorithms"
Cloud Computing,Intermediate,"Cloud Computing Algorithms, Cloud Computing Core Concepts, Cloud Computing Practical Applications"
Network Security,Intermediate,"Network Security Tools and Methods, Network Security Core Concepts, Network Security Practical Applications"
Supervised Learning,Advanced,"Supervised Learning Optimization Techniques, Supervised Learning Complex Data Structures, Supervised Learning Research & Development"
Cryptography,Intermediate,"Cryptography Algorithms, Cryptography Data Processing, Cryptography Practical Applications"
Reinforcement Learning,Beginner,"Reinforcement Learning Basic Syntax, Reinforcement Learning Introduction, Reinforcement Learning Fundamentals"
NoSQL Databases,Intermediate,"NoSQL Databases Algorithms, NoSQL Databases Practical Applications, NoSQL Databases Tools and Methods"
Full Stack Development,Advanced,"Full Stack Development Case Studies, Full Stack Development Complex Data Structures, Full Stack Development Optimization Techniques"
Python Programming,Beginner,"Python Programming Basic Syntax, Python Programming Introduction, Python Programming Fundamentals"
Software Testing,Beginner,"Software Testing Introduction, Software Testing Foundations, Software Testing Basic Syntax"
Full Stack Development,Advanced,"Full Stack Development Research & Development, Full Stack Development Performance Tuning, Full Stack Development Complex Data Structures"
NoSQL Databases,Advanced,"NoSQL Databases Complex Data Structures, NoSQL Databases Research & Development, NoSQL Databases Performance Tuning"
Introduction to AI,Beginner,"Introduction to AI Fundamentals, Introduction to AI Foundations, Introduction to AI Basic Syntax"
Machine Learning Basics,Intermediate,"Machine Learning Basics Algorithms, Machine Learning Basics Core Concepts, Machine Learning Basics Practical Applications"
Cryptography,Advanced,"Cryptography Research & Development, Cryptography Optimization Techniques, Cryptography Performance Tuning"
NoSQL Databases,Beginner,"NoSQL Databases Setup and Installation, NoSQL Databases Fundamentals, NoSQL Databases Foundations"
Software Testing,Intermediate,"Software Testing Tools and Methods, Software Testing Core Concepts, Software Testing Algorithms"
Unsupervised Learning,Beginner,"Unsupervised Learning Introduction, Unsupervised Learning Setup and Installation, Unsupervised Learning Basic Syntax"
Natural Language Processing,Beginner,"Natural Language Processing Foundations, Natural Language Processing Setup and Installation, Natural Language Processing Fundamentals"
SQL for Beginners,Intermediate,"SQL for Beginners Practical Applications, SQL for Beginners Data Processing, SQL for Beginners Tools and Methods"
Ethical Hacking,Beginner,"Ethical Hacking Setup and Installation, Ethical Hacking Foundations, Ethical Hacking Introduction"
Data Analysis with Python,Advanced,"Data Analysis with Python Case Studies, Data Analysis with Python Research & Development, Data Analysis with Python Optimization Techniques"
Network Fundamentals,Beginner,"Network Fundamentals Setup and Installation, Network Fundamentals Introduction, Network Fundamentals Fundamentals"
C++ Programming,Beginner,"C++ Programming Basic Syntax, C++ Programming Foundations, C++ Programming Setup and Installation"
Ruby Programming,Intermediate,"Ruby Programming Practical Applications, Ruby Programming Algorithms, Ruby Programming Data Processing"
Advanced AI Topics,Advanced,"Advanced AI Topics Case Studies, Advanced AI Topics Optimization Techniques, Advanced AI Topics Performance Tuning"
Python Programming,Advanced,"Python Programming Optimization Techniques, Python Programming Research & Development, Python Programming Complex Data Structures"
Advanced Networking,Beginner,"Advanced Networking Fundamentals, Advanced Networking Introduction, Advanced Networking Foundations"
Database Administration,Beginner,"Database Administration Foundations, Database Administration Basic Syntax, Database Administration Setup and Installation"
Ruby Programming,Beginner,"Ruby Programming Basic Syntax, Ruby Programming Foundations, Ruby Programming Fundamentals"
DevOps,Advanced,"DevOps Case Studies, DevOps Complex Data Structures, DevOps Performance Tuning"
Software Development Life Cycle,Beginner,"Software Development Life Cycle Fundamentals, Software Development Life Cycle Basic Syntax, Software Development Life Cycle Foundations"
Deep Learning,Intermediate,"Deep Learning Data Processing, Deep Learning Practical Applications, Deep Learning Core Concepts"
Advanced AI Topics,Beginner,"Advanced AI Topics Setup and Installation, Advanced AI Topics Fundamentals, Advanced AI Topics Basic Syntax"
Deep Learning,Intermediate,"Deep Learning Algorithms, Deep Learning Practical Applications, Deep Learning Core Concepts"
Network Security,Intermediate,"Network Security Core Concepts, Network Security Practical Applications, Network Security Tools and Methods"
Ruby Programming,Intermediate,"Ruby Programming Core Concepts, Ruby Programming Algorithms, Ruby Programming Tools and Methods"
Introduction to AI,Advanced,"Introduction to AI Optimization Techniques, Introduction to AI Research & Development, Introduction to AI Complex Data Structures"
Software Testing,Advanced,"Software Testing Optimization Techniques, Software Testing Performance Tuning, Software Testing Case Studies"
Introduction to AI,Advanced,"Introduction to AI Complex Data Structures, Introduction to AI Case Studies, Introduction to AI Optimization Techniques"
Deep Learning,Beginner,"Deep Learning Foundations, Deep Learning Basic Syntax, Deep Learning Introduction"
DevOps,Intermediate,"DevOps Data Processing, DevOps Core Concepts, DevOps Practical Applications"
SQL for Beginners,Advanced,"SQL for Beginners Complex Data Structures, SQL for Beginners Research & Development, SQL for Beginners Case Studies"
Software Testing,Beginner,"Software Testing Fundamentals, Software Testing Introduction, Software Testing Basic Syntax"
Java Programming,Intermediate,"Java Programming Data Processing, Java Programming Core Concepts, Java Programming Algorithms"
Network Defense,Advanced,"Network Defense Case Studies, Network Defense Optimization Techniques, Network Defense Performance Tuning"
Database Administration,Intermediate,"Database Administration Core Concepts, Database Administration Practical Applications, Database Administration Data Processing"
Machine Learning Basics,Beginner,"Machine Learning Basics Setup and Installation, Machine Learning Basics Basic Syntax, Machine Learning Basics Fundamentals"
Network Defense,Advanced,"Network Defense Complex Data Structures, Network Defense Research & Development, Network Defense Performance Tuning"
Ethical Hacking,Beginner,"Ethical Hacking Introduction, Ethical Hacking Foundations, Ethical Hacking Setup and Installation"
Introduction to Cybersecurity,Intermediate,"Introduction to Cybersecurity Tools and Methods, Introduction to Cybersecurity Data Processing, Introduction to Cybersecurity Core Concepts"
Introduction to AI,Beginner,"Introduction to AI Setup and Installation, Introduction to AI Foundations, Introduction to AI Fundamentals"
Backend with Node.js,Beginner,"Backend with Node.js Foundations, Backend with Node.js Fundamentals, Backend with Node.js Basic Syntax"
Django for Web,Advanced,"Django for Web Case Studies, Django for Web Research & Development, Django for Web Optimization Techniques"
NoSQL Databases,Intermediate,"NoSQL Databases Data Processing, NoSQL Databases Core Concepts, NoSQL Databases Tools and Methods"
Full Stack Development,Intermediate,"Full Stack Development Core Concepts, Full Stack Development Tools and Methods, Full Stack Development Algorithms"
Advanced Networking,Beginner,"Advanced Networking Foundations, Advanced Networking Basic Syntax, Advanced Networking Setup and Installation"
Machine Learning Basics,Beginner,"Machine Learning Basics Fundamentals, Machine Learning Basics Foundations, Machine Learning Basics Basic Syntax"
Cryptography,Beginner,"Cryptography Fundamentals, Cryptography Basic Syntax, Cryptography Introduction"
JavaScript Essentials,Advanced,"JavaScript Essentials Case Studies, JavaScript Essentials Complex Data Structures, JavaScript Essentials Optimization Techniques"
HTML & CSS Basics,Beginner,"HTML & CSS Basics Basic Syntax, HTML & CSS Basics Setup and Installation, HTML & CSS Basics Foundations"
Database Design,Intermediate,"Database Design Core Concepts, Database Design Practical Applications, Database Design Data Processing"
Full Stack Development,Intermediate,"Full Stack Development Practical Applications, Full Stack Development Core Concepts, Full Stack Development Tools and Methods"
SQL for Beginners,Beginner,"SQL for Beginners Fundamentals, SQL for Beginners Basic Syntax, SQL for Beginners Foundations"
NoSQL Databases,Beginner,"NoSQL Databases Setup and Installation, NoSQL Databases Introduction, NoSQL Databases Foundations"
Network Defense,Advanced,"Network Defense Case Studies, Network Defense Research & Development, Network Defense Optimization Techniques"
Introduction to Cybersecurity,Beginner,"Introduction to Cybersecurity Introduction, Introduction to Cybersecurity Setup and Installation, Introduction to Cybersecurity Foundations"
Security in Cloud,Beginner,"Security in Cloud Introduction, Security in Cloud Foundations, Security in Cloud Basic Syntax"
Frontend Development with React,Advanced,"Frontend Development with React Research & Development, Frontend Development with React Performance Tuning, Frontend Development with React Case Studies"
Deep Learning,Beginner,"Deep Learning Basic Syntax, Deep Learning Foundations, Deep Learning Setup and Installation"
Requirements Engineering,Intermediate,"Requirements Engineering Data Processing, Requirements Engineering Core Concepts, Requirements Engineering Algorithms"
DevOps,Intermediate,"DevOps Algorithms, DevOps Core Concepts, DevOps Data Processing"
Network Security,Advanced,"Network Security Performance Tuning, Network Security Optimization Techniques, Network Security Complex Data Structures"
Advanced AI Topics,Advanced,"Advanced AI Topics Case Studies, Advanced AI Topics Performance Tuning, Advanced AI Topics Research & Development"
Frontend Development with React,Intermediate,"Frontend Development with React Algorithms, Frontend Development with React Core Concepts, Frontend Development with React Data Processing"
Requirements Engineering,Intermediate,"Requirements Engineering Algorithms, Requirements Engineering Data Processing, Requirements Engineering Practical Applications"
Deep Learning,Beginner,"Deep Learning Setup and Installation, Deep Learning Foundations, Deep Learning Fundamentals"
JavaScript Essentials,Beginner,"JavaScript Essentials Introduction, JavaScript Essentials Setup and Installation, JavaScript Essentials Basic Syntax"
Full Stack Development,Advanced,"Full Stack Development Case Studies, Full Stack Development Complex Data Structures, Full Stack Development Research & Development"
Advanced SQL Queries,Advanced,"Advanced SQL Queries Complex Data Structures, Advanced SQL Queries Case Studies, Advanced SQL Queries Performance Tuning"
Data Analysis with Python,Intermediate,"Data Analysis with Python Core Concepts, Data Analysis with Python Practical Applications, Data Analysis with Python Tools and Methods"
Data Analysis with Python,Beginner,"Data Analysis with Python Introduction, Data Analysis with Python Foundations, Data Analysis with Python Fundamentals"
Ethical Hacking,Intermediate,"Ethical Hacking Core Concepts, Ethical Hacking Tools and Methods, Ethical Hacking Practical Applications"
Software Development Life Cycle,Beginner,"Software Development Life Cycle Basic Syntax, Software Development Life Cycle Introduction, Software Development Life Cycle Fundamentals"
Django for Web,Advanced,"Django for Web Case Studies, Django for Web Performance Tuning, Django for Web Optimization Techniques"
HTML & CSS Basics,Intermediate,"HTML & CSS Basics Tools and Methods, HTML & CSS Basics Core Concepts, HTML & CSS Basics Practical Applications"
C++ Programming,Beginner,"C++ Programming Setup and Installation, C++ Programming Introduction, C++ Programming Fundamentals"
Software Development Life Cycle,Intermediate,"Software Development Life Cycle Practical Applications, Software Development Life Cycle Algorithms, Software Development Life Cycle Tools and Methods"
Software Testing,Beginner,"Software Testing Foundations, Software Testing Setup and Installation, Software Testing Basic Syntax"
Django for Web,Advanced,"Django for Web Complex Data Structures, Django for Web Optimization Techniques, Django for Web Performance Tuning"
Database Design,Advanced,"Database Design Optimization Techniques, Database Design Case Studies, Database Design Performance Tuning"
Data Analysis with Python,Beginner,"Data Analysis with Python Fundamentals, Data Analysis with Python Introduction, Data Analysis with Python Foundations"
Data Analysis with Python,Intermediate,"Data Analysis with Python Tools and Methods, Data Analysis with Python Practical Applications, Data Analysis with Python Algorithms"
Java Programming,Advanced,"Java Programming Optimization Techniques, Java Programming Performance Tuning, Java Programming Case Studies"
DevOps,Intermediate,"DevOps Core Concepts, DevOps Practical Applications, DevOps Tools and Methods"
Advanced SQL Queries,Intermediate,"Advanced SQL Queries Data Processing, Advanced SQL Queries Core Concepts, Advanced SQL Queries Tools and Methods"
